name,address,Availability_availability_of_beds,Availability_oxygen_beds,Availability_non_oxygen_beds,Availability_i_c_u_beds,Availability_ventilators,Allocated_oxygen_beds,Allocated_non_oxygen_beds,Allocated_i_c_u,Allocated_ventilators,Availability_availability_of_oxygen,Availability_antiviral_remdesivir_etc_,Availability_steroids,Availability_anticoagulant,Availability_antipyretic,updated_on,city
Advanta Super Speciality Hospital,Near Power House,Yes (23),15,0,8,4,25,0,14,4,Yes,No,Yes,Yes,Yes,2021-05-29 15:18,19
ARS Holy Heart Advanced Cardiac care &amp; Research Centre,"330, Vinay Nagar Rohtak, Near Delhi Bypass Rohtak",Yes (17),0,0,17,2,0,0,20,2,Yes,No,No,No,No,2021-05-29 17:26,19
CHC Chiri,"VOP Chiri, Meham Gohana Road, Distt. Rohtak Haryana",Yes (10),10,0,0,0,10,0,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-29 15:06,19
CHC Kahanaur,"Near Sarva haryana Gramin Bank, Opp. Banquet hall, Nigana Road, Kahanaur",Yes (10),4,6,0,0,4,6,0,0,Yes,No,Yes,No,Yes,2021-05-29 15:49,19
CHC kalanaur,"Police Station, Bhiwani-Rohtak Road , Near Kalanaur kalan, Kalanaur,",Yes (5),5,0,0,0,10,0,0,0,Yes,No,Yes,No,Yes,2021-05-29 15:57,19
CHC Kiloi,"VPO Kiloi, Water Works, Distt. Rohtak",Yes (9),4,5,0,0,5,5,0,0,Yes,No,Yes,No,Yes,2021-05-29 17:28,19
CHC Madina,"VPO Madina, Hisar Road Distt. Rohtak, Haryana",Yes (10),0,10,0,0,0,10,0,0,Yes,No,No,No,Yes,2021-05-29 17:27,19
CHC Meham,"Near ITI, Meham Distt. Rohtak",Yes (9),9,0,0,0,10,0,0,0,Yes,No,Yes,No,Yes,2021-05-29 15:01,19
CHC Sampla,"Gadi Sampla, Rohtak, SH-20, Jhajjar Sampla Road, Sampla, Sampla, Haryana 124501",Yes (10),0,10,0,0,0,10,0,0,No,No,Yes,No,Yes,2021-05-29 16:29,19
"Civil Hospital, Rohtak",Subash Road,Yes (56),28,26,2,5,38,26,7,5,Yes,Yes,Yes,Yes,Yes,2021-05-29 14:47,19
Holy Heart Super speciality Hospital,Vinay Nagar Delhi Bye pass,No (0),0,0,0,0,25,5,27,6,Yes,No,No,Yes,Yes,2021-05-29 17:03,19
"Hridaya Nilayam Heart, Lung &amp; vascular Institute","5, Raj Garden, Delhi Bypass, Rohtak",Yes (17),0,0,17,0,0,0,25,2,Yes,No,Yes,Yes,Yes,2021-05-29 08:29,19
Joyline Multispeciality,"Surajmal Colony, Sunarian Road, Opposite Birgadier Muktram Statue Rohtak",Yes (20),15,0,5,1,15,0,5,1,Yes,Yes,Yes,Yes,Yes,2021-05-29 17:16,19
Kainos Hospital,Near Kheri Sadh Village Outer Bye Pass,Yes (46),24,8,14,7,26,10,34,17,Yes,No,Yes,Yes,Yes,2021-05-29 17:12,19
Life Care Hospital,Subash Nagar,Yes (40),24,0,16,6,30,0,20,6,Yes,No,Yes,Yes,Yes,2021-05-29 15:54,19
Maan Hospital,Bhagwan Colony Near Radio Station,Yes (34),24,0,10,4,29,0,16,6,Yes,No,Yes,Yes,Yes,2021-05-29 16:03,19
Mansarover Hospital,Mansarover Colony Near Park,Yes (28),20,0,8,6,20,0,10,7,Yes,No,Yes,Yes,Yes,2021-05-29 16:48,19
Neurocentre Super Speciality Hospital,"Kalawati Bulding, Near Power House Rohtak",Yes (22),4,6,12,2,4,6,13,2,Yes,No,Yes,Yes,Yes,2021-05-29 15:47,19
Noble Heart Super Speciality Hospital,Near Raj Garden Delhi Bye Pass,Yes (27),23,1,3,2,26,1,7,6,Yes,No,Yes,Yes,Yes,2021-05-29 16:54,19
Oscar Super Speciality Trauma Center,"Medical Moad, Daryao Singh Nagar,",Yes (15),13,2,0,0,23,3,15,2,Yes,No,Yes,No,Yes,2021-05-29 17:02,19
Oxygen Hospital,Islam Pura Daries Hisar Road,Yes (26),14,10,2,2,15,10,5,4,Yes,No,Yes,Yes,Yes,2021-05-29 16:56,19
PGIMS Rohtak,"Pt.Bhagwat Dayal PGIMS, Medical Rd, Rohtak, Haryana",Yes (433),395,0,38,38,451,0,115,115,Yes,Yes,Yes,Yes,Yes,2021-05-29 16:05,19
Positron Hospital,Suncity Sector 35,Yes (24),0,16,8,0,0,16,16,4,Yes,No,No,Yes,Yes,2021-05-29 16:00,19
Pragati Hospital,"Sukhpura Chowk, Gohana Road, opp. Ladhot Road Rohtak",Yes (11),8,0,3,1,11,0,4,1,Yes,No,Yes,Yes,Yes,2021-05-29 17:00,19
"Sanghi Nursing Home, Rohtak, Haryana","Chotu Ram Chowk, Civil Road, Arya Nagar, Rohtak, Haryana",Yes (14),10,0,4,4,10,0,4,4,Yes,Yes,Yes,Yes,Yes,2021-05-29 16:08,19
Shivam Liver &amp; Gastro Super Speciality Hospital,"CIVIL ROAD NEAR SHANT MAI CHOWK, Rohtak, Haryana - 124001, India",Yes (8),5,0,3,0,5,0,4,1,Yes,No,Yes,Yes,Yes,2021-05-29 16:06,19
Sunflag Global Hospital,Bharat Colony Near Sheela Bye Pass,Yes (27),20,0,7,3,20,0,15,5,Yes,No,Yes,Yes,Yes,2021-05-29 16:23,19
Balaji Gautam Hospital,"Model Colony, East Bhatia Nagar, Yamuna Nagar, Haryana",Yes (12),7,2,3,0,7,2,3,0,Yes,No,Yes,Yes,Yes,2021-05-29 13:17,22
