name,address,Availability_availability_of_beds,Availability_oxygen_beds,Availability_non_oxygen_beds,Availability_i_c_u_beds,Availability_ventilators,Allocated_oxygen_beds,Allocated_non_oxygen_beds,Allocated_i_c_u,Allocated_ventilators,Availability_availability_of_oxygen,Availability_antiviral_remdesivir_etc_,Availability_steroids,Availability_anticoagulant,Availability_antipyretic,updated_on,city
DCHC Barara,,Yes (41),41,0,0,0,50,0,0,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-24 09:46,1
DCHC Mullana,,Yes (31),31,0,0,0,50,0,0,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-24 09:46,1
District Civil Hospital,Ambala City,Yes (63),48,0,15,9,116,0,23,11,Yes,Yes,Yes,Yes,Yes,2021-05-24 09:43,1
District Civil Hospital Ambala Cantt,Ambala Cantt,Yes (10),10,0,0,1,80,0,13,7,Yes,Yes,Yes,Yes,Yes,2021-05-24 09:44,1
Guardian Hospital,AMBALA JAGADHARI ROAD AMBALA CANTT,Yes (10),7,3,0,3,15,3,2,3,Yes,Yes,Yes,Yes,Yes,2021-05-24 09:45,1
Ishwar Hospital,,Yes (2),2,0,0,0,16,0,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-24 09:46,1
Kuldeep Hospital,,Yes (4),2,0,2,0,8,0,2,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-24 09:46,1
Mehndiratta Hospital,"#106, manali house, near central jail,  ambala city",Yes (12),11,0,1,0,25,0,4,1,Yes,No,Yes,Yes,Yes,2021-05-24 09:45,1
Military Hospital,Ambala Cantonment,Yes (91),21,70,0,5,60,85,0,15,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-24 09:43,1
MM Medical College Pvt,MMIMSR Mullana Ambala,Yes (144),74,70,0,0,116,70,14,10,Yes,Yes,Yes,Yes,Yes,2021-05-24 09:43,1
Park Healing Touch Hospital,"Sultanpur Chowk, Nr Dhulkot Barrier, Ambala Chandigarh Expy. Ambala",No (0),0,0,0,0,30,0,10,10,Yes,Yes,Yes,Yes,Yes,2021-05-24 09:44,1
Philedelphia mission Hospital pvt,"Mission Compound, Ambala City",Yes (21),20,0,1,2,92,0,6,2,Yes,No,Yes,Yes,Yes,2021-05-24 09:36,1
Railways Hospital,"Railway Hospital, railway colony,  Ambala Cantt",Yes (7),6,0,1,0,30,0,5,0,Yes,No,Yes,Yes,Yes,2021-05-24 09:45,1
Rotary Hospital Ambala cantt Pvt,"Rambagh road, Opp Dusshera ground, Ambala Cantt",Yes (3),2,0,1,2,15,0,3,2,Yes,No,Yes,Yes,Yes,2021-05-24 09:43,1
Sant Hospital,,No (0),0,0,0,0,10,0,2,1,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-24 09:45,1
SDH Naraingarh,,Yes (35),35,0,0,0,50,0,0,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-24 09:44,1
Yafe Indoor Hospital,,Yes (10),6,4,0,0,9,6,0,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-24 09:47,1
BALAJI HOSPITAL,"Yamuna Nagar, Haryana",Yes (11),7,2,2,0,8,2,2,0,Yes,No,Yes,Yes,Yes,2021-05-23 18:35,22
Ch Lekh Raj Multispeciality Hospital,Vill Gadhauli Yamuna Nagar,Yes (142),134,0,8,3,140,0,10,5,Yes,Yes,Yes,Yes,Yes,2021-05-24 07:56,22
CHC Bilaspur,CHC Bilaspur,Yes (15),2,13,0,0,8,17,0,0,Yes,No,Yes,No,Yes,2021-05-23 18:21,22
CHC Chhachharuli,CHC Chhachharuli,Yes (15),4,11,0,0,10,20,0,0,Yes,No,Yes,Yes,Yes,2021-05-23 18:22,22
CHC Naharpur,Naharpur Yamuna Nagar,Yes (10),10,0,0,0,10,0,0,0,Yes,No,No,No,Yes,2021-05-23 18:33,22
CHC Partap Nagar,CHC Partap Nagar,Yes (14),5,9,0,0,6,10,0,0,Yes,No,Yes,No,Yes,2021-05-23 18:22,22
CHC Radaur,Radaur Yamuna Nagar,Yes (10),10,0,0,0,10,0,0,0,Yes,No,Yes,Yes,Yes,2021-05-23 18:32,22
CHC Saraswati Nagar,CHC Saraswati Nagar,Yes (19),8,11,0,0,14,11,0,0,Yes,No,Yes,No,Yes,2021-05-23 18:23,22
DABRA HOSPITAL Yamunanagar,DABRA HOSPITAL,Yes (17),9,8,0,1,11,8,4,2,No,No,No,No,No,2021-05-23 18:24,22
ESI Hospital,"ESI Hospital, Jagadhri",Yes (14),14,0,0,0,50,0,8,0,Yes,No,Yes,Yes,Yes,2021-05-23 18:19,22
Gaba Hospital,Gaba Hospital Yamunanagar,Yes (25),0,25,0,0,50,40,30,5,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-23 18:19,22
GULATI HOSPITAL,GULATI HOSPITAL,Yes (7),6,1,0,0,25,3,6,0,Yes,No,Yes,Yes,Yes,2021-05-23 18:24,22
Heart Care Center Hospital,Near Lal Dwara Mandir Yamuna Nagar,Yes (15),2,2,11,4,2,2,15,7,Yes,No,Yes,Yes,Yes,2021-05-23 18:21,22
JP Hospital Pvt,"Jagadhri Rd, near Luxmi Theater, Vishwakarma Mohalla, Yamuna Nagar,HARAYANA Haryana",Yes (6),3,3,0,0,15,15,13,2,Yes,No,Yes,Yes,Yes,2021-05-23 18:19,22
KAPOOR HOSPITAL,"SH 6A Indira Colony Jagadhri, yamunanagart ,Haryana",Yes (7),2,0,5,0,4,0,8,0,Yes,No,Yes,Yes,Yes,2021-05-23 18:28,22
KESHWANI HOSPITAL,"Jagadhri - Yamuna Nagar Rd, Tagore Garden, Yamuna Nagar, Haryana",Yes (3),3,0,0,0,10,0,0,0,Yes,No,Yes,Yes,Yes,2021-05-23 18:35,22
Maxxwell Hospital,Jagadhari Yamuna Nagar,Yes (13),9,1,3,0,10,1,6,0,Yes,No,Yes,Yes,Yes,2021-05-23 18:25,22
Mukand Lal District Civil Hospital Yamunanagar,Mukand Lal District Civil Hospital YNR,Yes (11),3,8,0,1,18,9,0,5,Yes,No,Yes,Yes,Yes,2021-05-23 18:25,22
NIRMAL HOSPITAL,"199, Radaur Rd, near nirmal hospital, camp, Garhi Gujran, Haryana",Yes (10),8,1,1,0,13,1,6,0,Yes,No,Yes,Yes,Yes,2021-05-23 18:20,22
RK Gupta,opp DAV Sr Sec School Near Madhu Hotel YNR,Yes (4),4,0,0,0,15,2,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-23 18:33,22
SABBARWAL HOSPITAL,"Gulab Nagar, Jagadhri, Haryana",Yes (1),0,0,1,0,6,1,6,0,Yes,No,Yes,Yes,Yes,2021-05-23 18:28,22
Sachdeva Hospital,"2227, Civil Lines Rd, Sri Nagar Colony, Civil Lines, Gomti Mohalla, Jagadhri, Haryana",Yes (20),12,6,2,0,16,8,4,0,Yes,No,Yes,Yes,Yes,2021-05-23 18:34,22
Santosh Hospital,"Santosh Hospital  Kanhaiya Sahib Chowk, near Govt.School, Harbanspura Colony, Gobind Pura, Yamuna Nagar, Haryana",Yes (14),2,8,4,0,5,9,14,2,Yes,No,Yes,Yes,Yes,2021-05-23 18:18,22
SHARMA HOSPITAL,Near Agarsain Chowk Jagadhri,Yes (3),3,0,0,0,12,0,0,0,Yes,No,Yes,Yes,Yes,2021-05-23 18:29,22
Shree Medical Care Hospital,"359/2, Jain nagar, Jagadhri, Haryana",Yes (9),9,0,0,0,15,0,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-23 18:36,22
Shureshtha Hospital,Model Colony YNR,No (0),0,0,0,0,9,1,2,0,Yes,No,Yes,Yes,Yes,2021-05-23 18:34,22
SP Hospital Jag,S.P Hospital Jag,Yes (5),4,0,1,0,4,0,3,1,Yes,No,Yes,Yes,Yes,2021-05-23 18:26,22
Swami Vivekanand Hospital Yamunanagar,"Swami Vivekanand Hospital,Yamuna Nagar, Haryana",Yes (22),14,8,0,0,20,10,19,1,Yes,No,Yes,Yes,Yes,2021-05-23 18:27,22
tejli stadium,64 A Tejli,Yes (34),5,29,0,0,20,56,0,0,Yes,No,No,No,Yes,2021-05-23 18:27,22
VARDAAN HOSPITAL,OPP KOHLI HOSPITAL NEAR AGARSEN COLLEGE JAGADHRI,Yes (8),6,2,0,0,8,2,0,0,Yes,No,Yes,Yes,Yes,2021-05-23 18:36,22
WARYAM SINGH HOSPITAL,NEAR CIVIL HOSPITAL YAMUNA NAGAR,Yes (20),14,2,4,0,16,2,4,0,Yes,Yes,Yes,Yes,Yes,2021-05-23 18:29,22
