name,address,Availability_availability_of_beds,Availability_oxygen_beds,Availability_non_oxygen_beds,Availability_i_c_u_beds,Availability_ventilators,Allocated_oxygen_beds,Allocated_non_oxygen_beds,Allocated_i_c_u,Allocated_ventilators,Availability_availability_of_oxygen,Availability_antiviral_remdesivir_etc_,Availability_steroids,Availability_anticoagulant,Availability_antipyretic,updated_on,city
NIDHI HOSPITAL,"Palwal, Haryana",Yes (12),2,7,3,0,2,7,3,0,Yes,No,Yes,Yes,Yes,2021-05-19 12:42,15
Palwal Hospital,"Moti Colony, Palwal, Haryana",Yes (22),0,6,16,1,0,6,16,1,Yes,No,Yes,Yes,Yes,2021-05-28 14:19,15
RAHUL HOSPITAL,PALWAL,Yes (15),7,5,3,0,7,5,3,0,Yes,No,Yes,Yes,Yes,2021-05-13 16:20,15
Sachin Hospital,"New Sohna Road, Near Panchwati Chowk, Palwal Haryana",Yes (27),10,5,12,1,10,5,13,2,Yes,Yes,Yes,Yes,Yes,2021-05-31 11:12,15
SDH Hodal,SDH Hodal,Yes (20),10,10,0,0,10,10,0,0,Yes,No,Yes,Yes,Yes,2021-05-28 09:42,15
Shri. Satya Sai Sanjivani Hospital Palwal,"Palwal, Haryana",Yes (21),4,16,1,2,4,17,4,2,Yes,No,Yes,Yes,Yes,2021-05-28 16:13,15
SRI SAI HOSPITAL,"Palwal, Haryana",Yes (6),0,6,0,0,0,6,0,0,Yes,No,Yes,Yes,Yes,2021-05-31 09:49,15
VASHU HOSPITAL,,Yes (10),10,0,0,0,10,0,0,0,Yes,No,Yes,Yes,Yes,2021-05-19 12:53,15
"Ayurvedic Medical College, Patikra",HUDA Sec. 1 Narnaul,Yes (187),28,159,0,0,40,160,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-28 12:58,13
CHC ATELI,CHC ATELI,Yes (13),8,5,0,0,15,5,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-27 10:54,13
CHC Kanina,Kanina,Yes (10),0,10,0,0,15,12,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-31 19:32,13
CHC Nangal Chaudhary,chc nangal choudhary,Yes (10),5,5,0,0,5,5,0,0,No,Yes,Yes,Yes,Yes,2021-05-27 13:18,13
CHC Sehlang,CHC SEHLANG,Yes (9),5,4,0,0,5,4,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-31 16:26,13
Civil Hospital Narnaul,"Housing Board, Narnaul",Yes (55),55,0,0,8,80,0,0,10,Yes,Yes,Yes,Yes,Yes,2021-05-31 09:47,13
Jaipur Heart &amp; Multi Speciality Hospital,"Opp. Sadar Thana, Narnaul",Yes (10),5,3,2,0,6,3,4,2,Yes,Yes,Yes,Yes,Yes,2021-05-31 19:41,13
LAXMI NARAYANAN,"Laxmi Narayanan Hospital , Narnaul Road Mahendergarh",Yes (10),6,0,4,1,6,0,4,1,No,Yes,Yes,Yes,Yes,2021-05-31 11:40,13
Nihal Hospital Kanina,Kanina Main Bus Stand,Yes (13),12,0,1,1,13,0,1,1,Yes,Yes,Yes,Yes,Yes,2021-05-30 08:17,13
Rainbow Multispecialty hospital and trauma Centre,"Singhana road, Narnaul",Yes (4),1,2,1,0,4,3,6,2,Yes,No,Yes,Yes,Yes,2021-05-31 22:01,13
Sammat Memorial Hospital,"Sastri colony, near bus stand, mahendergarh",Yes (12),10,0,2,2,10,0,3,2,Yes,No,Yes,Yes,Yes,2021-05-31 17:04,13
Sanwedna Hospital Narnaul,"HUDA Sector 1, Narnaul",Yes (9),9,0,0,0,25,0,9,1,Yes,Yes,Yes,Yes,Yes,2021-05-26 09:43,13
