name,address,Availability_availability_of_beds,Availability_oxygen_beds,Availability_non_oxygen_beds,Availability_i_c_u_beds,Availability_ventilators,Allocated_oxygen_beds,Allocated_non_oxygen_beds,Allocated_i_c_u,Allocated_ventilators,Availability_availability_of_oxygen,Availability_antiviral_remdesivir_etc_,Availability_steroids,Availability_anticoagulant,Availability_antipyretic,updated_on,city
"Ayurvedic Medical College, Patikra",HUDA Sec. 1 Narnaul,Yes (187),28,159,0,0,40,160,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-28 12:58,13
CHC ATELI,CHC ATELI,Yes (13),8,5,0,0,15,5,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-27 10:54,13
CHC Kanina,Kanina,Yes (10),0,10,0,0,15,12,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-30 16:41,13
CHC Nangal Chaudhary,chc nangal choudhary,Yes (10),5,5,0,0,5,5,0,0,No,Yes,Yes,Yes,Yes,2021-05-27 13:18,13
CHC Sehlang,CHC SEHLANG,Yes (9),5,4,0,0,5,4,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-30 10:09,13
Civil Hospital Narnaul,"Housing Board, Narnaul",Yes (52),52,0,0,6,80,0,0,10,Yes,Yes,Yes,Yes,Yes,2021-05-28 09:01,13
Jaipur Heart &amp; Multi Speciality Hospital,"Opp. Sadar Thana, Narnaul",Yes (10),5,3,2,0,6,3,4,2,Yes,Yes,Yes,Yes,Yes,2021-05-30 08:48,13
LAXMI NARAYANAN,"Laxmi Narayanan Hospital , Narnaul Road Mahendergarh",Yes (10),6,0,4,1,6,0,4,1,Yes,Yes,Yes,Yes,Yes,2021-05-30 13:00,13
Nihal Hospital Kanina,Kanina Main Bus Stand,Yes (13),12,0,1,1,13,0,1,1,Yes,Yes,Yes,Yes,Yes,2021-05-30 08:17,13
Rainbow Multispecialty hospital and trauma Centre,"Singhana road, Narnaul",Yes (3),0,2,1,0,4,3,6,2,Yes,No,Yes,Yes,Yes,2021-05-30 00:34,13
Sammat Memorial Hospital,"Sastri colony, near bus stand, mahendergarh",Yes (12),10,0,2,2,10,0,3,2,Yes,No,Yes,Yes,Yes,2021-05-30 16:53,13
Sanwedna Hospital Narnaul,"HUDA Sector 1, Narnaul",Yes (9),9,0,0,0,25,0,9,1,Yes,Yes,Yes,Yes,Yes,2021-05-26 09:43,13
SDH Mahendergarh,SDH Mahendergarh,Yes (17),17,0,0,4,20,0,0,5,Yes,Yes,Yes,Yes,Yes,2021-05-27 13:17,13
Shanti Hospital Narnaul,Shanti Hospital Narnaul,Yes (23),9,7,7,0,9,7,7,2,Yes,Yes,Yes,Yes,Yes,2021-05-30 11:36,13
Sheela Multi Superspeciality Hospital,Behind Bus Stand Mahindergarh,Yes (6),4,0,2,1,6,0,3,1,Yes,No,Yes,Yes,Yes,2021-05-30 09:34,13
Shri Arvind Heart and Multispecialty Hospital,"Rao Tula Ram Chowk, Dadri Road Mahendergarh",Yes (17),9,5,3,3,9,5,3,3,Yes,Yes,Yes,Yes,Yes,2021-05-30 10:02,13
Tanwar Health Care MGarh,,Yes (9),5,0,4,1,5,0,4,1,Yes,Yes,Yes,Yes,Yes,2021-05-30 16:22,13
