name,address,Availability_availability_of_beds,Availability_oxygen_beds,Availability_non_oxygen_beds,Availability_i_c_u_beds,Availability_ventilators,Allocated_oxygen_beds,Allocated_non_oxygen_beds,Allocated_i_c_u,Allocated_ventilators,Availability_availability_of_oxygen,Availability_antiviral_remdesivir_etc_,Availability_steroids,Availability_anticoagulant,Availability_antipyretic,updated_on,city
GH Charkhi Dadri,"Near Loharu Chowk,Charkhi Dadri",Yes (5),5,0,0,0,35,15,1,11,Yes,Yes,Yes,Yes,Yes,2021-05-15 20:31,3
Jaihind Hospital,Charkhi Dadri,Yes (1),0,1,0,0,7,2,5,0,Yes,Yes,Yes,To Be Updated,To Be Updated,2021-05-15 20:37,3
Murari Lal Rasiwasia Ayurvedic Hospital,"Delhi Road,Near Janta College",Yes (31),21,10,0,0,60,10,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-15 20:59,3
Oscar Hospital,Charkhi Dadri,Yes (2),0,0,2,0,0,1,20,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-15 20:41,3
Pradhan Medicare Centre,"Loharu Rd, Charkhi Dadri, Haryana",No (0),0,0,0,0,10,2,3,0,To Be Updated,Yes,Yes,Yes,Yes,2021-05-15 20:41,3
Sunflag Hospital,Charkhi Dadri,No (0),0,0,0,0,6,0,6,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-15 20:40,3
"Apex Hospital, Sirsa","Circular Road, Sirsa",Yes (3),3,0,0,0,12,2,4,1,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-15 17:29,20
"Astha Hospital, Sirsa",Dabwali Road Sirsa,Yes (1),1,0,0,0,15,0,5,0,Yes,No,Yes,Yes,Yes,2021-05-15 18:27,20
CIVIL HOSPITAL SIRSA,"Civil Hospital Road, Sirsa",Yes (16),11,5,0,0,80,15,5,5,Yes,Yes,Yes,Yes,Yes,2021-05-15 22:04,20
"Dayal Nursing Home, Sirsa","Dabwali Road, Sirsa",Yes (3),2,1,0,0,9,3,0,0,Yes,To Be Updated,Yes,Yes,Yes,2021-05-15 14:05,20
"Gupta Hospital, Sirsa","Dabwali Road, Sirsa Near Easy Day",No (0),0,0,0,0,4,3,5,0,Yes,To Be Updated,Yes,Yes,Yes,2021-05-15 18:23,20
