name,address,Availability_availability_of_beds,Availability_oxygen_beds,Availability_non_oxygen_beds,Availability_i_c_u_beds,Availability_ventilators,Allocated_oxygen_beds,Allocated_non_oxygen_beds,Allocated_i_c_u,Allocated_ventilators,Availability_availability_of_oxygen,Availability_antiviral_remdesivir_etc_,Availability_steroids,Availability_anticoagulant,Availability_antipyretic,updated_on,city
"Ayurvedic Medical College, Patikra",HUDA Sec. 1 Narnaul,Yes (190),30,160,0,0,40,160,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-26 09:46,13
CHC ATELI,CHC ATELI,Yes (9),4,5,0,0,15,5,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-26 14:59,13
CHC Kanina,Kanina,Yes (10),0,10,0,0,15,12,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-26 16:21,13
CHC Nangal Chaudhary,chc nangal choudhary,Yes (10),5,5,0,0,5,5,0,0,No,Yes,Yes,Yes,Yes,2021-05-24 10:19,13
CHC Sehlang,CHC SEHLANG,Yes (9),5,4,0,0,5,4,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-26 16:23,13
Civil Hospital Narnaul,"Housing Board, Narnaul",Yes (38),38,0,0,7,80,0,0,10,Yes,Yes,Yes,Yes,Yes,2021-05-26 09:43,13
Jaipur Heart &amp; Multi Speciality Hospital,"Opp. Sadar Thana, Narnaul",Yes (6),3,3,0,0,6,3,4,2,Yes,Yes,Yes,Yes,Yes,2021-05-26 16:18,13
LAXMI NARAYANAN,"Laxmi Narayanan Hospital , Narnaul Road Mahendergarh",Yes (9),6,0,3,1,6,0,4,1,Yes,Yes,Yes,Yes,Yes,2021-05-26 09:04,13
Nihal Hospital Kanina,Kanina Main Bus Stand,Yes (13),12,0,1,1,13,0,1,1,Yes,Yes,Yes,Yes,Yes,2021-05-24 10:26,13
Rainbow Multispecialty hospital and trauma Centre,"Singhana road, Narnaul",Yes (4),2,0,2,0,4,3,6,2,Yes,No,Yes,Yes,Yes,2021-05-26 22:50,13
Sammat Memorial Hospital,"Sastri colony, near bus stand, mahendergarh",Yes (7),7,0,0,2,10,0,3,2,Yes,No,Yes,Yes,Yes,2021-05-26 16:46,13
Sanwedna Hospital Narnaul,"HUDA Sector 1, Narnaul",Yes (9),9,0,0,0,25,0,9,1,Yes,Yes,Yes,Yes,Yes,2021-05-26 09:43,13
SDH Mahendergarh,SDH Mahendergarh,Yes (17),17,0,0,3,20,0,0,5,Yes,Yes,Yes,Yes,Yes,2021-05-24 10:25,13
Shanti Hospital Narnaul,Shanti Hospital Narnaul,Yes (19),9,7,3,0,9,7,7,2,Yes,Yes,Yes,Yes,Yes,2021-05-26 15:57,13
Sheela Multi Superspeciality Hospital,Behind Bus Stand Mahindergarh,Yes (5),3,0,2,1,6,0,3,1,Yes,No,Yes,Yes,Yes,2021-05-26 18:43,13
Shri Arvind Heart and Multispecialty Hospital,"Rao Tula Ram Chowk, Dadri Road Mahendergarh",Yes (17),9,5,3,3,9,5,3,3,Yes,Yes,Yes,Yes,Yes,2021-05-26 09:54,13
Tanwar Health Care MGarh,,Yes (9),5,0,4,1,5,0,4,1,Yes,Yes,Yes,Yes,Yes,2021-05-24 14:37,13
Vijay Hospital Narnaul,"HUDA Sector 1, Narnaul",Yes (5),5,0,0,1,8,0,15,2,Yes,Yes,Yes,Yes,Yes,2021-05-26 08:21,13
Advanta Super Speciality Hospital,Near Power House,Yes (12),6,0,6,2,25,0,14,4,No,No,Yes,Yes,Yes,2021-05-26 16:52,19
ARS Holy Heart Advanced Cardiac care &amp; Research Centre,"330, Vinay Nagar Rohtak, Near Delhi Bypass Rohtak",Yes (15),0,0,15,1,0,0,20,2,Yes,No,No,No,No,2021-05-26 17:03,19
CHC Chiri,"VOP Chiri, Meham Gohana Road, Distt. Rohtak Haryana",Yes (10),10,0,0,0,10,0,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-26 16:53,19
CHC Kahanaur,"Near Sarva haryana Gramin Bank, Opp. Banquet hall, Nigana Road, Kahanaur",Yes (10),4,6,0,0,4,6,0,0,Yes,No,Yes,No,Yes,2021-05-26 17:10,19
CHC kalanaur,"Police Station, Bhiwani-Rohtak Road , Near Kalanaur kalan, Kalanaur,",Yes (5),5,0,0,0,10,0,0,0,Yes,No,Yes,No,Yes,2021-05-26 16:00,19
CHC Kiloi,"VPO Kiloi, Water Works, Distt. Rohtak",Yes (10),5,5,0,0,5,5,0,0,Yes,No,Yes,No,Yes,2021-05-26 16:30,19
CHC Madina,"VPO Madina, Hisar Road Distt. Rohtak, Haryana",Yes (10),0,10,0,0,0,10,0,0,Yes,No,No,No,Yes,2021-05-26 16:10,19
CHC Meham,"Near ITI, Meham Distt. Rohtak",Yes (8),8,0,0,0,10,0,0,0,Yes,No,Yes,No,Yes,2021-05-26 15:14,19
CHC Sampla,"Gadi Sampla, Rohtak, SH-20, Jhajjar Sampla Road, Sampla, Sampla, Haryana 124501",Yes (9),0,9,0,0,0,10,0,0,No,No,Yes,No,Yes,2021-05-26 16:49,19
"Civil Hospital, Rohtak",Subash Road,Yes (55),28,26,1,4,38,26,7,5,Yes,Yes,Yes,Yes,Yes,2021-05-26 14:27,19
Holy Heart Super speciality Hospital,Vinay Nagar Delhi Bye pass,No (0),0,0,0,0,25,5,27,6,Yes,No,No,Yes,Yes,2021-05-26 17:39,19
"Hridaya Nilayam Heart, Lung &amp; vascular Institute","5, Raj Garden, Delhi Bypass, Rohtak",Yes (17),0,0,17,0,0,0,25,2,Yes,No,Yes,Yes,Yes,2021-05-26 16:21,19
Joyline Multispeciality,"Surajmal Colony, Sunarian Road, Opposite Birgadier Muktram Statue Rohtak",Yes (13),10,0,3,1,15,0,5,1,Yes,Yes,Yes,Yes,Yes,2021-05-26 16:31,19
Kainos Hospital,Near Kheri Sadh Village Outer Bye Pass,Yes (37),21,7,9,7,26,10,34,17,Yes,No,Yes,Yes,Yes,2021-05-26 16:12,19
Life Care Hospital,Subash Nagar,Yes (35),22,0,13,4,30,0,20,6,No,No,Yes,Yes,Yes,2021-05-26 15:54,19
Maan Hospital,Bhagwan Colony Near Radio Station,Yes (26),15,0,11,5,29,0,16,6,Yes,No,Yes,Yes,Yes,2021-05-26 16:53,19
Mansarover Hospital,Mansarover Colony Near Park,Yes (26),20,0,6,6,20,0,10,7,Yes,No,Yes,Yes,Yes,2021-05-26 16:04,19
Neurocentre Super Speciality Hospital,"Kalawati Bulding, Near Power House Rohtak",Yes (21),4,6,11,0,4,6,13,2,Yes,No,Yes,Yes,Yes,2021-05-26 16:01,19
Noble Heart Super Speciality Hospital,Near Raj Garden Delhi Bye Pass,Yes (22),21,1,0,1,26,1,7,6,Yes,No,Yes,Yes,Yes,2021-05-26 16:48,19
Oscar Super Speciality Trauma Center,"Medical Moad, Daryao Singh Nagar,",Yes (5),3,1,1,0,23,3,15,2,Yes,Yes,Yes,No,Yes,2021-05-26 17:30,19
Oxygen Hospital,Islam Pura Daries Hisar Road,Yes (25),13,10,2,2,15,10,5,4,Yes,No,Yes,Yes,Yes,2021-05-26 17:25,19
PGIMS Rohtak,"Pt.Bhagwat Dayal PGIMS, Medical Rd, Rohtak, Haryana",Yes (377),356,0,21,21,451,0,115,115,Yes,Yes,Yes,Yes,Yes,2021-05-26 16:04,19
Positron Hospital,Suncity Sector 35,Yes (23),0,16,7,0,0,16,16,4,Yes,No,No,Yes,Yes,2021-05-26 17:02,19
Pragati Hospital,"Sukhpura Chowk, Gohana Road, opp. Ladhot Road Rohtak",Yes (12),9,0,3,1,11,0,4,1,Yes,No,Yes,Yes,Yes,2021-05-26 16:17,19
