name,address,Availability_availability_of_beds,Availability_oxygen_beds,Availability_non_oxygen_beds,Availability_i_c_u_beds,Availability_ventilators,Allocated_oxygen_beds,Allocated_non_oxygen_beds,Allocated_i_c_u,Allocated_ventilators,Availability_availability_of_oxygen,Availability_antiviral_remdesivir_etc_,Availability_steroids,Availability_anticoagulant,Availability_antipyretic,updated_on,city
"Apex Hospital, Sirsa","Circular Road, Sirsa",Yes (1),1,0,0,0,12,2,4,1,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-15 09:31,20
"Astha Hospital, Sirsa",Dabwali Road Sirsa,No (0),0,0,0,0,15,0,5,0,Yes,No,Yes,Yes,Yes,2021-05-15 10:42,20
CIVIL HOSPITAL SIRSA,"Civil Hospital Road, Sirsa",No (0),0,0,0,0,69,10,5,5,Yes,Yes,Yes,Yes,Yes,2021-05-15 10:32,20
"Dayal Nursing Home, Sirsa","Dabwali Road, Sirsa",Yes (1),1,0,0,0,9,3,0,0,Yes,To Be Updated,Yes,Yes,Yes,2021-05-15 09:38,20
"Gupta Hospital, Sirsa","Dabwali Road, Sirsa Near Easy Day",No (0),0,0,0,0,4,3,5,0,Yes,To Be Updated,Yes,Yes,Yes,2021-05-15 10:12,20
"Jagdish Nursing Home, Sirsa","Gandhi Market, Parshuram Chowk, Sirsa",Yes (5),0,4,1,1,0,4,7,1,Yes,No,Yes,Yes,Yes,2021-05-15 10:44,20
"jCD Hospital, Sirsa","JCD Hospital, Barnala Road, Sirsa",Yes (38),2,36,0,0,10,40,0,0,Yes,No,Yes,Yes,Yes,2021-05-15 10:40,20
"Jeevan Jyoti Hospital, Sirsa",Dabwali Road Sirsa,No (0),0,0,0,0,7,1,6,3,Yes,No,Yes,Yes,Yes,2021-05-15 09:21,20
"Khurana Hospital, Sirsa",Dabwali Road Sirsa,Yes (5),4,0,1,0,6,0,4,0,Yes,No,Yes,Yes,Yes,2021-05-15 08:01,20
"Lalgarhia Hospital, Sirsa",Dabwali Road Sirsa,No (0),0,0,0,0,13,2,3,1,Yes,Yes,Yes,Yes,Yes,2021-05-15 08:33,20
"Medicare Hospital, Sirsa","Dabwali Road, Sirsa",Yes (3),0,0,3,0,1,6,6,2,Yes,Yes,Yes,Yes,Yes,2021-05-15 08:40,20
"Metro Health Care Hospital, Sirsa","Near Dena Bank, lal Batti Chowk, Sirsa",No (0),0,0,0,0,5,0,5,1,Yes,To Be Updated,Yes,Yes,Yes,2021-05-15 09:56,20
"Mittal Hospital, Sirsa","Near Jhunthra Petrol Pump, Dabwali Road Sirsa",Yes (6),5,1,0,0,14,1,4,0,Yes,No,Yes,Yes,Yes,2021-05-15 07:31,20
"New Life Care Hospital, Sirsa","Dabwali Road, Sirsa",Yes (3),2,0,1,0,7,2,3,0,Yes,No,Yes,Yes,Yes,2021-05-15 09:19,20
"Poonia COVID Care Center, Sirsa","Near Ambedkar chowk, opposite Seth tula ram dharamshala, Hisar Road, Sirsa, Haryana 125055",Yes (4),0,4,0,0,14,7,3,1,Yes,Yes,Yes,Yes,Yes,2021-05-15 09:03,20
"Sanjeevni Hospital, Sirsa (Wing -2, 1 &amp; 2nd Floor)","Under over bridge, hisar road, sirsa",Yes (23),0,23,0,0,45,30,16,6,Yes,Yes,Yes,Yes,Yes,2021-05-15 10:38,20
SDCH Dabwali,"Dabwali, District Sirsa",Yes (12),0,12,0,0,10,15,0,0,Yes,No,Yes,Yes,Yes,2021-05-15 10:20,20
"Shah Satnam Dera Hospital (Wing -2, 2nd floor), Sirsa","Begu Road, Sirsa",Yes (16),0,16,0,0,21,30,14,7,Yes,Yes,Yes,Yes,Yes,2021-05-15 09:17,20
"Shri Baba Tara Hospital &amp; Research Center, Sirsa","Hisar Road, Sirsa",No (0),0,0,Beds Over Utilized 1,1,15,5,4,3,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-15 10:53,20
"SPS Hospital, Sirsa","Near Sangwan Chowk, Dabwali Road, Sirsa",No (0),0,0,0,0,12,0,3,2,Yes,No,Yes,Yes,Yes,2021-05-15 10:02,20
"Suraksha Hospital, Sirsa","Dabwali Rd, opposite Hotel Aroma, Sirsa, Haryana 125055",No (0),0,0,0,0,10,3,11,7,Yes,Yes,Yes,Yes,Yes,2021-05-15 08:44,20
"Swastik Hospital, Sirsa","Ambedkar Chowk, Nandan Vatika, Sirsa,",No (0),0,0,0,0,5,5,5,1,Yes,No,Yes,Yes,Yes,2021-05-15 10:39,20
"Talwar Nursing Home, Sirsa","Under Over Bridge, Hisar Road, Sirsa",No (0),0,0,0,0,12,2,2,1,Yes,Yes,Yes,Yes,Yes,2021-05-15 09:51,20
"Tomar Nursing Home, Sirsa","Nandan Vatika, near surkhab Chock, Hathi park, Agrasain Colony, Sirsa, Haryana 125055",No (0),0,0,0,0,12,2,4,1,Yes,Yes,Yes,Yes,Yes,2021-05-15 10:49,20
"Vardan Hospital, Sirsa","Near Lal Batti Chowk, Sirsa",Yes (8),3,2,3,0,9,3,6,0,Yes,No,Yes,Yes,Yes,2021-05-15 10:12,20
Aashirwad Hospital,101 Devi Murti Colony Panipat,Yes (2),1,0,1,1,2,0,7,1,Yes,No,Yes,Yes,Yes,2021-05-15 08:57,17
Aayushmaan Bhav Hospital,"GT Road Sewah, Near Police Line Panipat",No (0),0,0,0,1,5,4,6,2,Yes,No,Yes,Yes,Yes,2021-05-15 08:23,17
APEX HOSPITAL &amp; TRAUMA CENTRE,SANOLI ROAD BABAIL NAKA,Yes (5),4,0,1,0,9,0,26,2,Yes,No,Yes,Yes,Yes,2021-05-15 09:14,17
CHC Dadlana,"VPO Dadlana, Panipat",Yes (8),0,8,0,0,0,8,0,0,No,No,No,No,Yes,2021-05-15 09:02,17
CHC Khotpura,VPO Khotpura Panipat,Yes (9),0,9,0,0,0,9,0,0,No,No,No,No,No,2021-05-15 09:02,17
Chhabra Hospital,A-1 Narain Singh Park,No (0),0,0,0,1,6,0,5,1,Yes,No,Yes,Yes,Yes,2021-05-15 08:10,17
Civil Hospital panipat,Civil Hospital GT Road Panipat,Yes (9),0,9,0,0,74,20,10,4,Yes,Yes,Yes,Yes,Yes,2021-05-15 09:19,17
Cygnus Hospital,Cygnus Hospital Near Devi Mndir Panipat,No (0),0,0,0,0,12,0,4,2,Yes,No,Yes,Yes,Yes,2021-05-15 09:23,17
GALAXY HOSPITAL,ASSAND ROAD PANIPAT,Yes (2),2,0,0,0,7,0,8,2,Yes,No,Yes,Yes,Yes,2021-05-15 09:18,17
Hyderabadi General Hospital &amp; Nursing Home,"Sanoli Road, Near Sanjay, Chowk, Panipat",No (0),0,0,0,2,0,0,10,2,Yes,No,Yes,Yes,Yes,2021-05-15 08:33,17
IBM HOSPITAL &amp; TRAUMA CENTRE,NEAR BHIM GODA MANDIR SANOLI ROAD,No (0),0,0,0,0,12,0,12,2,Yes,No,Yes,Yes,Yes,2021-05-15 09:26,17
LHDM &amp; Prem Hospital,Prem Hospital Opp. Bus Stand Panipat,Yes (12),12,0,0,0,71,0,9,8,Yes,Yes,Yes,Yes,Yes,2021-05-15 10:15,17
MAX PLUS HOSPITAL,NEAR MALIK PETROL PUMP SANOLI ROAD,Yes (1),1,0,0,0,8,0,7,3,Yes,No,Yes,Yes,Yes,2021-05-15 09:26,17
NC Medical College,NC Medical Colllage Israna,Yes (458),10,447,1,1,42,483,5,4,Yes,No,Yes,Yes,Yes,2021-05-15 09:04,17
Park Hospital GT road panipat,"GT Road Sewah, Paniapt",Yes (22),15,7,0,0,52,14,16,2,Yes,Yes,Yes,Yes,Yes,2021-05-15 08:57,17
